Aff,Neg,Judges,Votes,Win
Greenhill SK,Harker ID,"Adam Mimou																																						Jared Burke																																						Alyssa Lucas-Bolin","Aff																															Aff																															Aff","3-0																															AFF"
BASIS Scottsdale SS,Lynbrook BZ,"Vontrez White																																						Jackson Mills																																						sam catapang","Neg																															Neg																															Neg","3-0																															NEG"
Troy Independent JK,Harker SSe,"Austin Loui																																						Anirv Ayyala																																						Coralynn Yang","Neg																															Neg																															Neg","3-0																															NEG"
Peninsula SU,Immaculate Heart NH,"Vontrez White																																						Sergio Chavez																																						Max Perin","Aff																															Neg																															Aff","2-1																															AFF"
Palos Verdes CP,Marlborough AM,"Max Perin																																						Bryce Sheffield																																						Coralynn Yang","Neg																															Neg																															Neg","3-0																															NEG"
Marlborough KM,Harker SD,"Anish Bhadani																																						Riley Reichel																																						Joey Antonelli","Neg																															Neg																															Neg","3-0																															NEG"
Riverside Independent SH,Harker NB,"Gordon Krauss																																						Riley Reichel																																						Joey Antonelli","Neg																															Neg																															Aff","2-1																															NEG"
Loyola ED,Lynbrook VV,"Adam Mimou																																						Alyssa Lucas-Bolin																																						Ilan Boguslavsky","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook OM,Coppell KT,"Patrick Fox																																						Dylan Liu																																						William Liu","Aff																															Aff																															Aff","3-0																															AFF"
Greenhill DM,Mountain View AW,"Ana Bittner																																						Julian Kuffour																																						Allyson Spurlock","Neg																															Neg																															Neg","3-0																															NEG"
Waring MB,Barrington AC,"Valerie Li																																						Tanya Wei																																						sam catapang","Aff																															Neg																															Aff","2-1																															AFF"
Lynbrook ST,Marlborough LF,"Gordon Krauss																																						Julian Kuffour																																						Molly Urfalian","Neg																															Aff																															Neg","2-1																															NEG"
Loyola RV,Harker RG,"Shreeram Modi																																						Anika Ganesh																																						Andres Marquez","Neg																															Neg																															Neg","3-0																															NEG"
Loyola UT,Papaya Valley SK,"Rayeed Rahman																																						Allyson Spurlock																																						Arthur Qin","Aff																															Aff																															Neg","2-1																															AFF"
Harker LC,Harker SS,,Harker SS advances,Harker SS advances
Marlborough LS,Marlborough OO,,Marlborough OO advances,Marlborough OO advances